Generation,BestOverallInfeasible,BestOverallOverSoak,BestOverallLate,BestOverallDeliveryPerformance,BestOverallSetup,BestOverallTotalCost,BestOverallIndustrialScore,BestOverallOvenUtilization,BestOverallSameTempOvenPenalty,BestOverallSamePressPenalty,BestFeasibleFound,BestExportInfeasible,BestExportOverSoak,BestExportLate,BestExportDeliveryPerformance,BestExportSetup,BestExportTotalCost,BestExportIndustrialScore,BestExportOvenUtilization,BestExportSameTempOvenPenalty,BestExportSamePressPenalty
1,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
2,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
3,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
4,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
5,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
6,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
7,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
8,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
9,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
10,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
11,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
12,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
13,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
14,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
15,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
16,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
17,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
18,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
19,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
20,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360,True,0,0,0,100.0,1845.0,1845.0,2255.0,82.06,50,360
