Generation,BestOverallInfeasible,BestOverallOverSoak,BestOverallLate,BestOverallDeliveryPerformance,BestOverallSetup,BestOverallTotalCost,BestOverallIndustrialScore,BestOverallOvenUtilization,BestOverallSameTempOvenPenalty,BestOverallSamePressPenalty,BestFeasibleFound,BestExportInfeasible,BestExportOverSoak,BestExportLate,BestExportDeliveryPerformance,BestExportSetup,BestExportTotalCost,BestExportIndustrialScore,BestExportOvenUtilization,BestExportSameTempOvenPenalty,BestExportSamePressPenalty
1,0,0,0,100.0,0,0,2958.425925925926,66.79,0,1680,True,0,0,0,100.0,0,0,2958.425925925926,66.79,0,1680
2,0,0,0,100.0,0,0,2958.425925925926,66.79,0,1680,True,0,0,0,100.0,0,0,2958.425925925926,66.79,0,1680
3,0,0,0,100.0,0,0,2958.425925925926,66.79,0,1680,True,0,0,0,100.0,0,0,2958.425925925926,66.79,0,1680
4,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440,True,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440
5,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440,True,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440
6,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440,True,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440
7,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440,True,0,0,0,100.0,0,0,2718.425925925926,66.79,0,1440
8,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200,True,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200
9,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200,True,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200
10,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200,True,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200
11,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200,True,0,0,0,100.0,0,0,2478.425925925926,66.79,0,1200
