Generation,BestOverallInfeasible,BestOverallOverSoak,BestOverallLate,BestOverallDeliveryPerformance,BestOverallSetup,BestOverallTotalCost,BestOverallIndustrialScore,BestOverallOvenUtilization,BestOverallSameTempOvenPenalty,BestOverallSamePressPenalty,BestFeasibleFound,BestExportInfeasible,BestExportOverSoak,BestExportLate,BestExportDeliveryPerformance,BestExportSetup,BestExportTotalCost,BestExportIndustrialScore,BestExportOvenUtilization,BestExportSameTempOvenPenalty,BestExportSamePressPenalty
1,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
2,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
3,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
4,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
5,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
6,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
7,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
8,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
9,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
10,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
11,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
12,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
13,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
14,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
15,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
16,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
17,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
18,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480,True,0,0,0,100.0,2325.0,2325.0,2805.0,100.0,0,480
